GeneID	Base mean	Log2(FC)	StdErr	Wald-Stats	P-value	P-Adj
gene-J2S48_RS08470	2925.15248793542	-2.51014541939048	0.283482184680899	-8.85468489745137	8.39205458911379e-19	3.79822210948852e-17
gene-J2S48_RS15180	399.184641566701	2.88635719903806	0.327028901169968	8.82600035872036	1.0848567969193e-18	4.84708453495353e-17
gene-J2S48_RS14405	5416.95986426218	3.00850818058416	0.341022446758215	8.82202391421229	1.12409237538869e-18	4.95881256737923e-17
rna-J2S48_RS10595	510.09546377191	3.53225342994108	0.401066899555379	8.80714273318721	1.28376182068433e-18	5.5923874313561e-17
rna-J2S48_RS16000	287.427920814692	4.2621918745602	0.484567977262224	8.79585955853149	1.41957052988975e-18	6.1076583909454e-17
MSTRG.192.1	2660.92440408377	-4.91322081271597	0.560421947296914	-8.76700285635482	1.83485133107436e-18	7.79811815706602e-17
gene-J2S48_RS25070	638.264704038181	-3.08613550237921	0.354054783782889	-8.71654795736829	2.8681251074914e-18	1.20426698790452e-16
gene-J2S48_RS24730	1422.93002530657	3.75428415827904	0.431831959941925	8.69385433811786	3.50346791968755e-18	1.45352210715608e-16
gene-J2S48_RS06480	8669.92761937895	-5.1260118636342	0.590194236228373	-8.68529638037792	3.77756142255328e-18	1.54880018324684e-16
gene-J2S48_RS21205	55.9216321384927	-7.66798081446033	0.892325642373574	-8.59325390903662	8.45404400090751e-18	3.42585387711194e-16
MSTRG.101.1	338.961231941017	2.93017359492214	0.341134772813604	8.5894896341253	8.73564864238625e-18	3.49927994468001e-16
rna-J2S48_RS19430	115.984408494356	4.43413523809272	0.51862964761573	8.54971415243526	1.23393722116997e-17	4.88667183611064e-16
gene-J2S48_RS17785	2229.35743945145	-2.94869166317318	0.345895057413752	-8.52481583639981	1.5305313593526e-17	5.99314807566722e-16
gene-J2S48_RS12395	1006.23915817988	-3.31292801044224	0.390302490043937	-8.48810370148881	2.10036108845837e-17	8.13306488141936e-16
MSTRG.20.1	136.10130174262	4.64885196106337	0.547971163427334	8.48375292595092	2.18044505581875e-17	8.25962067340038e-16
gene-J2S48_RS01875	382.675546857661	3.08873094583341	0.364027522620687	8.48488302092432	2.15935851534378e-17	8.25962067340038e-16
gene-J2S48_RS13420	2579.96965561986	4.41813787650089	0.521242797441579	8.47616101015972	2.32746590302684e-17	8.72174050757909e-16
gene-J2S48_RS20130	1184.24821803388	2.25265894618529	0.265956615676559	8.47002410695752	2.45342255480259e-17	9.09593362073086e-16
gene-J2S48_RS07360	872.86152337502	3.78556188290431	0.448024405020572	8.44945462899614	2.92666706076706e-17	1.07362470597613e-15
rna-J2S48_RS10510	239.909925848079	3.63946558295857	0.431780746098224	8.42896682134744	3.48730435013194e-17	1.26596413127185e-15
gene-J2S48_RS04535	76771.6974601911	3.33790242343859	0.398364134475093	8.37902344757214	5.33686428301652e-17	1.91741979652707e-15
gene-J2S48_RS20520	716.594781289634	-2.76158049122128	0.329752550487643	-8.37470547881258	5.53621485536164e-17	1.96874579295258e-15
MSTRG.1331.1	81.3953220332672	7.70301210859147	0.921149370367067	8.36239198157614	6.14592482164081e-17	2.16348969731497e-15
gene-J2S48_RS19520	229.830842835501	3.33633577668518	0.400801151546272	8.32416714326732	8.49237072125695e-17	2.95959119635805e-15
gene-J2S48_RS14735	823.889826692965	2.58808619209766	0.312469777786624	8.28267684135836	1.20436919782795e-16	4.15566995488159e-15
gene-J2S48_RS25940	976.3656693855	-3.81464529821975	0.460645730906988	-8.28108249415207	1.22060593263377e-16	4.17040360316538e-15
gene-J2S48_RS00240	149.80101628312	-4.41847034851918	0.534840735395534	-8.26128238951649	1.44115689599107e-16	4.87614736167853e-15
MSTRG.2273.1	3305.49779032879	-2.65004540098061	0.321277451882688	-8.24846370466189	1.60443732399217e-16	5.3764077635699e-15
gene-J2S48_RS19885	567.449170437313	3.09214234652608	0.374952618935974	8.24675489746102	1.62753759344466e-16	5.401874774433e-15
gene-J2S48_RS04045	1850.88464802562	3.03607516222578	0.370241521953565	8.20025573092409	2.39876187737495e-16	7.74044920615899e-15
gene-J2S48_RS19745	657.795763857636	3.03212437257066	0.369743269130357	8.20062087864987	2.39148630105719e-16	7.74044920615899e-15
gene-J2S48_RS26115	2154.88444133625	-2.50167083733354	0.30504860755974	-8.20089249823446	2.38608838788254e-16	7.74044920615899e-15
gene-J2S48_RS12575	2029.36919880842	3.62322469875867	0.443840692949892	8.163344993623	3.25872051750927e-16	1.04189367004769e-14
gene-J2S48_RS04250	662.87015325567	2.90677710842057	0.356174788562242	8.16109730886413	3.31994563845882e-16	1.05181914091173e-14
gene-J2S48_RS07555	1335.00984029009	-2.96317133245279	0.366281119389162	-8.08988281294541	5.97221635348992e-16	1.87506071999211e-14
gene-J2S48_RS08825	290.070356289254	-3.50309456842777	0.433784606385804	-8.07565440741378	6.71157186582366e-16	2.08837749574959e-14
gene-J2S48_RS22375	538.990962723402	-3.04053331758369	0.376582394192709	-8.07401876580497	6.80214154503626e-16	2.09782860924348e-14
gene-J2S48_RS10995	784.599780820858	2.91058486475234	0.36164466193238	8.04818975952854	8.40275961563384e-16	2.5687383561828e-14
gene-J2S48_RS07850	256.99270506457	3.41353788958123	0.425521219426873	8.02201566864013	1.04023868036969e-15	3.15237547920728e-14
gene-J2S48_RS18920	811.336168917088	2.73431000303092	0.342032956805824	7.99428811938501	1.30324671186336e-15	3.91535757831364e-14
gene-J2S48_RS02465	195.686436564417	-3.13022852675102	0.392134209504698	-7.98254386095207	1.4334784507651e-15	4.19877813050553e-14
MSTRG.1961.1	1998.34741206273	3.50590100123002	0.439113645538608	7.98404020656144	1.41619860354504e-15	4.19877813050553e-14
MSTRG.3412.1	65.6932311319328	7.4122982414581	0.928565931465686	7.98252228547544	1.43372911773359e-15	4.19877813050553e-14
gene-J2S48_RS12465	380.33837530764	3.58649235031831	0.449937489683727	7.97109027931714	1.57280557136175e-15	4.56768951349643e-14
gene-J2S48_RS24745	218.45960185027	-2.91161882595649	0.365865545439897	-7.95816622321109	1.74607682843665e-15	5.02898987363777e-14
gene-J2S48_RS12830	249.398789977882	3.04782544367705	0.383212089263637	7.95336454424916	1.81513223014725e-15	5.18502936234686e-14
gene-J2S48_RS25080	5399.85786744248	2.59447571864814	0.326375082802657	7.94936824333765	1.87465041210403e-15	5.31150950096141e-14
MSTRG.2379.1	1334.09581747198	-3.61370528141748	0.454700996551032	-7.94743206816769	1.90417362115061e-15	5.35164924976603e-14
gene-J2S48_RS14750	1343.46141521428	2.89905192785678	0.365307435641188	7.93592367691166	2.08934472381375e-15	5.82509308999274e-14
gene-J2S48_RS04195	505.19653968052	-2.92750066617858	0.369724558238312	-7.91805845986464	2.41247939736662e-15	6.67261166652592e-14
gene-J2S48_RS16880	328.567016526028	3.18771956914587	0.402987989536623	7.91020986211344	2.5695536055194e-15	7.03823023141152e-14
gene-J2S48_RS20525	727.322408420918	-2.4049694160014	0.304062371285644	-7.90946083144931	2.58506017107798e-15	7.03823023141152e-14
gene-J2S48_RS19270	1359.04356359619	2.89922934022166	0.366641236936681	7.9075375275432	2.62530008487607e-15	7.09238046185512e-14
gene-J2S48_RS04030	1634.42540259512	3.65335129629758	0.462534039961714	7.89855660482846	2.82151640795905e-15	7.56383437056716e-14
gene-J2S48_RS21880	2704.26240626156	2.46469679396235	0.312304885543914	7.89195721248421	2.97483730497637e-15	7.91397557850585e-14
gene-J2S48_RS18915	800.65218401779	2.44409101372882	0.30974566730577	7.89063826134524	3.00644929014968e-15	7.93748164861486e-14
rna-J2S48_RS24910	63.0500666832909	7.35890824940719	0.935873510905089	7.86314407199147	3.74609732481587e-15	9.81590163682955e-14
